,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,80,Indiana,1,0.0036668589311061894,0.08478839686098655,24881.57394907112,192182.0,108909,23088.0,10544.36477025946,0.0015539490471868159,361276.0,39218.78312788279,0.005779768815025565
1,81,Indiana,2,0.002122225044252826,0.03390289766788973,14400.417460078788,181340.0,33282,-6558.0,8030.130794077644,0.0011834201839676505,369238.0,20770.70412607993,0.0030610299045380008
2,82,Indiana,3,0.0044838458021806814,0.0290231286272935,30425.261238379477,303357.0,24284,-20182.0,21035.14722543356,0.0031000015364218616,626896.0,39815.37525132537,0.005867690067939499
3,83,Indiana,4,0.0032070884995098916,0.03866342186412251,21761.788811902356,332731.0,32712,26995.0,9940.988864852996,0.0014650280515905315,638467.0,33582.58875895171,0.004949148947429251
4,84,Indiana,5,0.0022674344963570987,0.0339332779003372,15385.74026319699,373492.0,22119,-3154.0,2604.9068751465875,0.0003838915520128408,750138.0,28166.573651247403,0.0041509774407013575
5,85,Indiana,6,0.0017897503578357952,0.024141478907892578,12144.401166104808,439649.0,9714,-5979.0,1386.2822033384573,0.00020429982800726151,885277.0,22902.520128871165,0.0033752008876643297
6,86,Indiana,7,0.005731121875977974,0.045751017692081807,38888.68796086107,482687.0,16982,18093.0,17633.03964722601,0.002598624550252539,947281.0,60144.33627449615,0.008863619201703412
7,87,Indiana,8,0.007691132312865872,0.0856960205512544,52188.39366065613,411228.0,87267,20278.0,18685.53442614324,0.0027537333021311295,802178.0,85691.25289516905,0.012628531323600617
8,88,Indiana,9,0.005705236105579766,0.08301304172895316,38713.03934102246,375529.0,101512,-1794.0,7390.309396728677,0.0010891281263195253,752852.0,70035.76928531626,0.01032134408484001
9,89,Indiana,10,0.0040071516786311994,0.06240723617914702,27190.639915599008,465168.0,57100,-6153.0,-2223.2010475927477,-0.0003276386226086972,936489.0,56604.48087879076,0.008341941979871096
